               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 108,            0.017365,            0.053046,           0.0043831,              0.9545,             0.92128,             0.96005,             0.84046,            0.013108,            0.045456,           0.0044631,           0.0047035,           0.0047035,           0.0047035
                 109,            0.017135,            0.053802,           0.0043713,             0.95632,             0.92005,             0.95735,             0.83607,            0.013169,            0.045556,           0.0045081,            0.004654,            0.004654,            0.004654
                 110,             0.01701,            0.052705,            0.004385,             0.95038,             0.93004,              0.9591,             0.83738,             0.01308,            0.044751,            0.004495,           0.0046045,           0.0046045,           0.0046045
                 111,            0.017104,            0.052228,           0.0044894,             0.94773,              0.9282,             0.95896,             0.83585,            0.013108,            0.045688,           0.0045768,            0.004555,            0.004555,            0.004555
                 112,            0.016996,            0.052526,           0.0043997,             0.94831,             0.93112,             0.96045,             0.84088,            0.013012,            0.046025,            0.004611,           0.0045055,           0.0045055,           0.0045055
                 113,            0.016993,            0.053015,           0.0042211,             0.94876,             0.93498,             0.95937,             0.83733,               0.013,            0.046013,           0.0045683,            0.004456,            0.004456,            0.004456
                 114,            0.016906,             0.05287,           0.0042635,             0.93878,             0.93754,             0.96072,             0.84015,            0.012835,            0.045188,           0.0045166,           0.0044065,           0.0044065,           0.0044065
                 115,             0.01694,            0.052273,           0.0043722,             0.94635,             0.92987,             0.95946,             0.83407,            0.013117,            0.045199,           0.0045911,            0.004357,            0.004357,            0.004357
                 116,            0.016876,            0.052375,           0.0041867,             0.95024,              0.9259,             0.95995,             0.83677,            0.013026,            0.044342,           0.0045721,           0.0043075,           0.0043075,           0.0043075
                 117,            0.016983,            0.053029,           0.0043779,             0.94096,             0.93202,             0.95925,             0.83566,            0.012897,            0.044737,           0.0045854,            0.004258,            0.004258,            0.004258
                 118,            0.016821,            0.051924,            0.004237,              0.9436,             0.93224,              0.9587,             0.84183,            0.012782,            0.044794,           0.0045843,           0.0042085,           0.0042085,           0.0042085
                 119,            0.016911,            0.052228,           0.0043597,             0.95115,             0.92872,             0.95956,              0.8392,             0.01281,            0.045142,           0.0044621,            0.004159,            0.004159,            0.004159
                 120,            0.016497,            0.050815,           0.0041088,             0.95319,             0.93253,             0.96027,             0.84467,            0.012766,            0.044801,           0.0044877,           0.0041095,           0.0041095,           0.0041095
                 121,            0.016546,            0.051114,           0.0042408,             0.95531,             0.93121,             0.95891,             0.83835,            0.012633,            0.044943,           0.0046515,             0.00406,             0.00406,             0.00406
                 122,            0.016562,            0.052377,           0.0041737,             0.95277,             0.93221,             0.95895,             0.84122,            0.012721,            0.045007,           0.0045804,           0.0040105,           0.0040105,           0.0040105
                 123,            0.016346,            0.051705,           0.0041251,             0.95667,             0.92171,             0.96078,             0.83914,            0.012785,            0.045133,           0.0045711,            0.003961,            0.003961,            0.003961
                 124,            0.016269,            0.051371,           0.0040538,             0.95673,             0.92693,             0.96227,             0.84448,             0.01266,            0.044497,           0.0044735,           0.0039115,           0.0039115,           0.0039115
                 125,             0.01633,            0.050262,           0.0040373,              0.9492,             0.92943,             0.96016,              0.8446,            0.012653,            0.044376,           0.0045997,            0.003862,            0.003862,            0.003862
                 126,            0.015998,            0.050851,           0.0040541,             0.95013,             0.92969,             0.95806,             0.84251,            0.012695,            0.044087,           0.0046156,           0.0038125,           0.0038125,           0.0038125
                 127,            0.016123,            0.051817,           0.0040309,             0.95419,             0.93081,             0.96166,             0.84707,            0.012615,            0.044737,           0.0045278,            0.003763,            0.003763,            0.003763
                 128,            0.016004,            0.050324,           0.0040528,             0.95491,             0.93011,             0.95971,             0.84398,            0.012543,            0.044261,           0.0045808,           0.0037135,           0.0037135,           0.0037135
                 129,            0.015958,            0.050032,           0.0039622,             0.95342,             0.93144,             0.95988,             0.84411,            0.012462,            0.044258,           0.0045896,            0.003664,            0.003664,            0.003664
                 130,            0.016047,            0.051118,           0.0040206,              0.9485,              0.9293,             0.96166,             0.84531,            0.012578,            0.044734,           0.0046182,           0.0036145,           0.0036145,           0.0036145
                 131,            0.015927,             0.05041,           0.0038208,              0.9538,              0.9322,             0.95994,             0.84657,            0.012355,            0.044159,           0.0046282,            0.003565,            0.003565,            0.003565
                 132,            0.015829,            0.050221,           0.0040197,              0.9544,             0.92997,             0.95964,             0.84494,            0.012459,            0.044124,           0.0046432,           0.0035155,           0.0035155,           0.0035155
                 133,            0.015712,            0.049695,           0.0039073,             0.95063,             0.93433,             0.96125,             0.84964,            0.012394,            0.044974,           0.0045841,            0.003466,            0.003466,            0.003466
                 134,             0.01564,            0.049973,            0.003928,             0.94981,             0.93266,             0.96059,             0.84923,            0.012404,            0.044667,           0.0045908,           0.0034165,           0.0034165,           0.0034165
                 135,            0.015604,            0.048909,           0.0039334,             0.95085,             0.93049,             0.95943,             0.84638,            0.012377,            0.044688,           0.0045961,            0.003367,            0.003367,            0.003367
                 136,            0.015808,            0.049948,           0.0039022,             0.95182,             0.92549,             0.95937,             0.84852,            0.012352,            0.044105,           0.0045765,           0.0033175,           0.0033175,           0.0033175
                 137,             0.01556,            0.050085,           0.0037466,             0.94693,             0.93853,              0.9619,             0.85122,            0.012337,            0.044651,            0.004539,            0.003268,            0.003268,            0.003268
                 138,             0.01545,            0.049281,           0.0036966,             0.95311,             0.94426,             0.96258,             0.85152,             0.01235,            0.044493,           0.0045224,           0.0032185,           0.0032185,           0.0032185
                 139,            0.015548,            0.049454,           0.0039046,             0.94234,             0.93963,             0.96143,             0.85016,            0.012305,            0.044644,           0.0045814,            0.003169,            0.003169,            0.003169
                 140,            0.015431,            0.049462,           0.0038328,             0.95253,             0.93315,             0.96142,              0.8511,            0.012265,            0.043753,           0.0044716,           0.0031195,           0.0031195,           0.0031195
                 141,            0.015421,            0.048506,           0.0038316,             0.95261,             0.93577,             0.96113,             0.85139,            0.012248,            0.044275,           0.0044626,             0.00307,             0.00307,             0.00307
                 142,            0.015321,            0.049289,            0.003817,             0.95359,             0.93584,              0.9613,             0.85134,            0.012152,            0.043876,           0.0043782,           0.0030205,           0.0030205,           0.0030205
                 143,            0.015112,            0.049217,           0.0037084,               0.952,             0.93313,             0.96154,             0.85249,             0.01212,            0.043778,           0.0044215,            0.002971,            0.002971,            0.002971
                 144,            0.015143,            0.049002,           0.0037223,              0.9514,             0.93748,              0.9605,             0.84976,            0.012169,            0.043749,           0.0044104,           0.0029215,           0.0029215,           0.0029215
                 145,            0.015159,            0.048482,            0.003688,             0.95591,              0.9295,             0.96041,             0.85197,             0.01205,            0.043326,           0.0044073,            0.002872,            0.002872,            0.002872
                 146,            0.015126,            0.048486,           0.0038059,             0.95579,             0.92812,             0.96175,             0.85139,            0.012106,            0.043334,           0.0044072,           0.0028225,           0.0028225,           0.0028225
                 147,            0.014871,             0.04743,           0.0037445,             0.95744,              0.9274,             0.95935,             0.85133,             0.01208,            0.043354,           0.0045262,            0.002773,            0.002773,            0.002773
                 148,            0.014786,            0.047473,           0.0037144,             0.95379,              0.9301,             0.95919,             0.85277,            0.012109,            0.043596,           0.0045554,           0.0027235,           0.0027235,           0.0027235
                 149,            0.014781,            0.047634,            0.003676,              0.9577,             0.93199,             0.96107,             0.85388,             0.01205,            0.043876,           0.0044756,            0.002674,            0.002674,            0.002674
                 150,            0.014578,            0.047573,            0.003591,             0.95719,             0.93086,              0.9608,             0.85486,            0.012052,            0.043471,           0.0045012,           0.0026245,           0.0026245,           0.0026245
                 151,            0.014782,            0.048123,           0.0036555,             0.95641,             0.93025,             0.95947,             0.85458,            0.012047,            0.043464,           0.0044547,            0.002575,            0.002575,            0.002575
                 152,            0.014511,            0.047286,           0.0035071,             0.95374,             0.93213,             0.95987,             0.85318,            0.012017,            0.044277,           0.0044151,           0.0025255,           0.0025255,           0.0025255
                 153,            0.014584,             0.04789,           0.0035454,             0.95781,             0.93396,             0.96083,             0.85399,            0.011996,            0.043889,            0.004434,            0.002476,            0.002476,            0.002476
                 154,            0.014566,            0.046622,           0.0035016,             0.96228,             0.92644,             0.95895,             0.85389,            0.011907,            0.043848,           0.0044006,           0.0024265,           0.0024265,           0.0024265
