               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 123,            0.010683,           0.0098658,          0.00098821,             0.92333,             0.84786,             0.90749,             0.79645,            0.014714,            0.033336,           0.0047315,             0.00451,             0.00451,             0.00451
                 124,            0.010643,           0.0098847,           0.0010005,             0.92856,             0.84701,             0.91033,             0.79917,            0.014578,            0.032379,            0.004615,            0.004465,            0.004465,            0.004465
                 125,            0.010586,           0.0098112,          0.00097315,             0.92197,             0.85414,             0.90997,             0.79935,            0.014589,            0.032114,           0.0044817,             0.00442,             0.00442,             0.00442
                 126,            0.010585,            0.009835,           0.0010063,             0.93192,              0.8454,             0.90541,             0.79626,            0.014612,            0.032163,           0.0044224,            0.004375,            0.004375,            0.004375
                 127,            0.010437,           0.0096112,          0.00096867,             0.91371,             0.86496,             0.90638,              0.7978,            0.014651,            0.032788,           0.0045756,             0.00433,             0.00433,             0.00433
                 128,            0.010641,           0.0098424,          0.00096483,             0.93101,             0.85632,             0.90673,             0.80092,            0.014584,            0.032383,           0.0045731,            0.004285,            0.004285,            0.004285
                 129,            0.010526,           0.0097743,          0.00096223,             0.93042,             0.86042,             0.91078,               0.806,            0.014397,            0.031961,            0.004492,             0.00424,             0.00424,             0.00424
                 130,            0.010508,           0.0097378,          0.00097301,             0.92357,             0.87186,             0.91559,             0.80972,            0.014223,            0.030914,           0.0044052,            0.004195,            0.004195,            0.004195
                 131,            0.010286,           0.0096516,          0.00094948,             0.92916,             0.84816,               0.908,             0.80496,            0.014493,            0.031723,           0.0045895,             0.00415,             0.00415,             0.00415
                 132,            0.010121,           0.0094756,          0.00092709,             0.92218,             0.85889,             0.90808,             0.80056,            0.014502,            0.032011,            0.004535,            0.004105,            0.004105,            0.004105
                 133,            0.010291,           0.0096244,          0.00093487,             0.91686,             0.85439,             0.90387,             0.80112,            0.014413,            0.032317,           0.0045267,             0.00406,             0.00406,             0.00406
                 134,            0.010232,           0.0095915,          0.00093564,             0.89113,             0.85618,             0.89689,             0.79051,            0.014726,            0.033444,           0.0045906,            0.004015,            0.004015,            0.004015
                 135,            0.010239,            0.009586,          0.00093607,             0.89813,             0.84968,              0.8961,             0.78863,            0.014826,            0.033563,           0.0047328,             0.00397,             0.00397,             0.00397
                 136,            0.010123,           0.0095037,           0.0009627,             0.91017,             0.83776,              0.8931,             0.78342,            0.014893,            0.034256,           0.0046186,            0.003925,            0.003925,            0.003925
                 137,            0.010117,           0.0095364,          0.00092885,             0.92003,             0.83901,             0.90259,             0.79437,            0.014623,            0.033874,           0.0045439,             0.00388,             0.00388,             0.00388
                 138,           0.0099877,            0.009388,          0.00089894,             0.92547,             0.84745,             0.90603,             0.79764,            0.014611,            0.033203,            0.004516,            0.003835,            0.003835,            0.003835
                 139,           0.0099255,           0.0093725,          0.00090932,             0.92655,             0.85606,             0.90904,             0.80363,            0.014557,            0.032537,            0.004609,             0.00379,             0.00379,             0.00379
                 140,           0.0099062,           0.0092315,          0.00090359,             0.92119,             0.85589,             0.90675,              0.8032,            0.014474,            0.032321,           0.0044647,            0.003745,            0.003745,            0.003745
                 141,           0.0098297,           0.0092987,          0.00088965,             0.92237,             0.85534,             0.90395,             0.79936,            0.014535,             0.03248,           0.0044933,              0.0037,              0.0037,              0.0037
                 142,           0.0097122,           0.0091962,          0.00086269,             0.90219,             0.86769,             0.90465,             0.80092,            0.014326,            0.032214,           0.0045012,            0.003655,            0.003655,            0.003655
                 143,           0.0098259,           0.0092901,          0.00086573,             0.91912,             0.84153,             0.90332,             0.79934,            0.014375,            0.032236,           0.0045517,             0.00361,             0.00361,             0.00361
                 144,           0.0098777,           0.0092474,          0.00087814,             0.90642,              0.8526,             0.90673,              0.7991,            0.014444,            0.032318,           0.0046152,            0.003565,            0.003565,            0.003565
                 145,           0.0096227,           0.0090877,          0.00085544,             0.90418,              0.8638,             0.90898,              0.8015,            0.014467,            0.031973,           0.0045812,             0.00352,             0.00352,             0.00352
                 146,           0.0095329,           0.0090501,          0.00085052,             0.90131,             0.86736,             0.90621,             0.80098,             0.01438,            0.031831,           0.0045605,            0.003475,            0.003475,            0.003475
                 147,           0.0095622,           0.0091017,          0.00086689,              0.9161,             0.85646,             0.90794,             0.80341,            0.014436,            0.032044,           0.0045703,             0.00343,             0.00343,             0.00343
                 148,           0.0094313,            0.009075,            0.000855,             0.90083,             0.85672,             0.90551,             0.80315,            0.014425,            0.032175,           0.0046445,            0.003385,            0.003385,            0.003385
                 149,           0.0094657,           0.0089629,          0.00084248,             0.89567,             0.87097,             0.90582,             0.80241,            0.014354,            0.032079,           0.0045626,             0.00334,             0.00334,             0.00334
                 150,            0.009248,           0.0088296,          0.00081529,             0.92944,             0.84339,             0.90238,             0.79857,            0.014449,            0.032439,           0.0046297,            0.003295,            0.003295,            0.003295
                 151,           0.0092979,           0.0089839,           0.0008131,             0.91334,             0.85686,             0.90302,             0.80055,            0.014448,            0.032491,           0.0046343,             0.00325,             0.00325,             0.00325
                 152,           0.0094097,           0.0089644,          0.00079947,             0.91929,              0.8538,             0.90246,             0.80001,            0.014418,            0.032443,            0.004645,            0.003205,            0.003205,            0.003205
                 153,           0.0092311,           0.0087978,          0.00080961,             0.92443,             0.84732,             0.90396,             0.79892,            0.014616,            0.032635,           0.0046291,             0.00316,             0.00316,             0.00316
                 154,             0.00915,           0.0087647,          0.00080847,             0.92328,             0.84386,             0.90183,             0.79731,            0.014737,            0.033333,           0.0047099,            0.003115,            0.003115,            0.003115
                 155,           0.0090065,           0.0086865,          0.00079144,             0.92146,             0.84756,              0.9012,             0.79833,            0.014743,            0.033128,           0.0047306,             0.00307,             0.00307,             0.00307
                 156,           0.0090986,           0.0088119,          0.00077566,             0.92734,             0.85877,             0.90865,             0.80564,            0.014519,            0.032084,           0.0046459,            0.003025,            0.003025,            0.003025
